rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
246,#area138,Hunter x Hunter: Greed Island,OVA,8,2003,79377,8.3
247,#area22507,Initial D Final Stage,TV,4,2014,46288,8.3
248,#area16664,Kaguya-hime no Monogatari,Movie,1,2013,83245,8.3
249,#area34577,Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,2018,314325,8.3
250,#area12859,One Piece Film: Z,Movie,1,2012,120603,8.3
251,#area6,Trigun,TV,26,1998,403895,8.3
252,#area3091,xxxHOLiC Kei,TV,13,2008,94112,8.3
253,#area6547,Angel Beats!,TV,13,2010,1089044,8.2
254,#area372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,2000,79375,8.2
255,#area31988,Hibike! Euphonium 2,TV,13,2016,108146,8.2
256,#area185,Initial D First Stage,TV,26,1998,131239,8.2
257,#area1604,Katekyo Hitman Reborn!,TV,203,2006,353550,8.2
258,#area28675,Kyoukai no Kanata Movie 2: I&#039;ll Be Here - Mirai-hen,Movie,1,2015,118142,8.2
259,#area512,Majo no Takkyuubin,Movie,1,1989,235185,8.2
260,#area585,Mimi wo Sumaseba,Movie,1,1995,141592,8.2
261,#area6864,xxxHOLiC Rou,OVA,2,2010,46333,8.2
262,#area10800,Chihayafuru,TV,25,2011,231248,8.2
263,#area121,Fullmetal Alchemist,TV,51,2003,844575,8.2
264,#area6336,Mobile Suit Gundam Unicorn,OVA,7,2010,57579,8.2
265,#area19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Special,1,2013,29089,8.2
266,#area31715,Working!!!: Lord of the Takanashi,Special,1,2016,58186,8.2
267,#area23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,2015,396546,8.2
268,#area32005,Detective Conan Movie 20: The Darkest Nightmare,Movie,1,2016,16838,8.2
269,#area6746,Durarara!!,TV,24,2010,797100,8.2
270,#area35972,Fairy Tail: Final Series,TV,15,2018,124048,8.2
271,#area10271,Gyakkyou Burai Kaiji: Hakairoku-hen,TV,26,2011,93143,8.2
272,#area33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,2016,62286,8.2
273,#area23327,Space☆Dandy 2nd Season,TV,13,2014,92277,8.2
274,#area1519,Black Lagoon: The Second Barrage,TV,12,2006,278536,8.2
275,#area265,Hajime no Ippo: Mashiba vs. Kimura,OVA,1,2003,57477,8.2
276,#area25681,Kamisama Hajimemashita◎,TV,12,2015,155468,8.2
277,#area11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,1,2012,123027,8.2
278,#area962,Aria The Natural,TV,26,2006,50759,8.2
279,#area28223,Death Parade,TV,12,2015,722243,8.2
280,#area235,Detective Conan,TV,928,1996,169950,8.2
281,#area6467,Detective Conan Movie 14: The Lost Ship in the Sky,Movie,1,2010,30328,8.2
282,#area31658,Kuroko no Basket Movie 4: Last Game,Movie,1,2017,86700,8.2
283,#area31051,Kuroko no Basket: Saikou no Present Desu,Special,1,2015,43453,8.2
284,#area10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,Movie,1,2012,17112,8.2
285,#area23755,Nanatsu no Taizai,TV,24,2014,732925,8.2
286,#area9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13,2011,42419,8.2
287,#area37171,Asobi Asobase,TV,12,2018,102621,8.2
288,#area20899,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,2014,270744,8.2
289,#area16782,Kotonoha no Niwa,Movie,1,2013,350216,8.2
290,#area1453,Maison Ikkoku,TV,96,1986,34679,8.2
291,#area21557,Omoide no Marnie,Movie,1,2014,108014,8.2
292,#area1364,Detective Conan Movie 05: Countdown to Heaven,Movie,1,2001,35472,8.2
293,#area18,Initial D Fourth Stage,TV,24,2004,72171,8.2
