rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
145,#area31964,Boku no Hero Academia,TV,13,2016,923510,8.4
147,#area10087,Fate/Zero,TV,13,2011,724377,8.4
148,#area6594,Katanagatari,TV,12,2010,309978,8.4
151,#area2559,Romeo no Aoi Sora,TV,33,1995,24457,8.4
152,#area12531,Sakamichi no Apollon,TV,12,2012,207736,8.4
155,#area486,Kino no Tabi: The Beautiful World,TV,13,2003,159375,8.4
156,#area18115,Magi: The Kingdom of Magic,TV,25,2013,411430,8.4
157,#area5341,Ookami to Koushinryou II,TV,12,2009,294962,8.4
158,#area25835,Shirobako,TV,24,2014,247007,8.4
161,#area37105,Grand Blue,TV,12,2018,136800,8.4
162,#area5420,Kemono no Souja Erin,TV,50,2009,52859,8.4
165,#area37430,Tensei shitara Slime Datta Ken,TV,24,2018,196379,8.4
166,#area30230,Diamond no Ace: Second Season,TV,51,2015,63155,8.4
169,#area1698,Nodame Cantabile,TV,23,2007,210575,8.4
170,#area30503,Noragami Aragoto,TV,13,2015,615799,8.4
171,#area31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,2016,815015,8.4
173,#area28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,2015,373172,8.3
175,#area14719,JoJo no Kimyou na Bouken (TV),TV,26,2012,402435,8.3
176,#area4081,Natsume Yuujinchou,TV,13,2008,305775,8.3
177,#area19815,No Game No Life,TV,12,2014,1074522,8.3
178,#area5040,One Outs,TV,25,2008,126743,8.3
179,#area45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,1996,293509,8.3
185,#area4224,Toradora!,TV,25,2008,990414,8.3
188,#area627,Major S1,TV,26,2004,58602,8.3
189,#area1210,NHK ni Youkoso!,TV,24,2006,411792,8.3
190,#area36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,12,2018,212934,8.3
191,#area338,Versailles no Bara,TV,40,1979,48577,8.3
192,#area57,Beck,TV,26,2004,196471,8.3
194,#area32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,2017,496090,8.3
195,#area1842,Major S3,TV,26,2007,41635,8.3
196,#area5081,Bakemonogatari,TV,15,2009,722111,8.3
199,#area11771,Kuroko no Basket,TV,25,2012,524966,8.3
200,#area558,Major S2,TV,26,2005,43257,8.3
202,#area329,Planetes,TV,26,2003,148860,8.3
206,#area36296,Hinamatsuri,TV,12,2018,176517,8.3
208,#area11843,Danshi Koukousei no Nichijou,TV,12,2012,408244,8.3
209,#area19363,Gin no Saji 2nd Season,TV,11,2014,93706,8.3
210,#area1889,Higurashi no Naku Koro ni Kai,TV,24,2007,286663,8.3
211,#area5690,Nodame Cantabile Finale,TV,11,2010,89704,8.3
212,#area2966,Ookami to Koushinryou,TV,13,2008,473896,8.3
214,#area36649,Banana Fish,TV,24,2018,102900,8.3
215,#area22297,Fate/stay night: Unlimited Blade Works,TV,12,2014,465059,8.3
216,#area1142,Hachimitsu to Clover II,TV,12,2006,75135,8.3
218,#area30,Neon Genesis Evangelion,TV,26,1995,704963,8.3
219,#area853,Ouran Koukou Host Club,TV,26,2006,571280,8.3
222,#area9863,SKET Dance,TV,77,2011,139168,8.3
225,#area34822,Tsuki ga Kirei,TV,12,2017,200106,8.3
226,#area34798,Yuru Camp△,TV,12,2018,147734,8.3
227,#area2402,Ashita no Joe,TV,79,1970,34916,8.3
228,#area7674,Bakuman.,TV,25,2010,357595,8.3
229,#area34636,Ballroom e Youkoso,TV,24,2017,138505,8.3
233,#area3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,2007,164183,8.3
234,#area6811,InuYasha: Kanketsu-hen,TV,26,2009,143811,8.3
235,#area22145,Kuroshitsuji: Book of Circus,TV,10,2014,193343,8.3
236,#area18195,Little Busters!: Refrain,TV,13,2013,102293,8.3
237,#area3226,Major S4,TV,26,2008,39437,8.3
240,#area13759,Sakurasou no Pet na Kanojo,TV,24,2012,606601,8.3
244,#area32867,Bungou Stray Dogs 2nd Season,TV,12,2016,233481,8.3
245,#area813,Dragon Ball Z,TV,291,1989,582201,8.3
247,#area22507,Initial D Final Stage,TV,4,2014,46288,8.3
249,#area34577,Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,2018,314325,8.3
251,#area6,Trigun,TV,26,1998,403895,8.3
252,#area3091,xxxHOLiC Kei,TV,13,2008,94112,8.3
253,#area6547,Angel Beats!,TV,13,2010,1089044,8.2
255,#area31988,Hibike! Euphonium 2,TV,13,2016,108146,8.2
256,#area185,Initial D First Stage,TV,26,1998,131239,8.2
257,#area1604,Katekyo Hitman Reborn!,TV,203,2006,353550,8.2
262,#area10800,Chihayafuru,TV,25,2011,231248,8.2
263,#area121,Fullmetal Alchemist,TV,51,2003,844575,8.2
267,#area23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,2015,396546,8.2
269,#area6746,Durarara!!,TV,24,2010,797100,8.2
270,#area35972,Fairy Tail: Final Series,TV,15,2018,124048,8.2
271,#area10271,Gyakkyou Burai Kaiji: Hakairoku-hen,TV,26,2011,93143,8.2
272,#area33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,2016,62286,8.2
